time_sec,est_x,est_y,est_z,est_yaw,true_x,true_y,true_z,true_yaw,err_x,err_y,err_z,err_yaw
0.000000000,-1.999971355,-1.999968786,0.070857776,0.014115554,-2.000000000,-2.000000000,0.050029904,-0.000000000,-0.000028645,-0.000031214,-0.020827872,-0.014115554
0.040000000,-1.999898512,-1.999889856,0.071231354,-0.021196659,-2.000000000,-2.000000000,0.050059808,-0.000000000,-0.000101488,-0.000110144,-0.021171546,0.021196659
0.070000000,-1.999785859,-1.999765289,0.071938903,-0.021636659,-2.000000000,-2.000000000,0.050089742,-0.000000000,-0.000214141,-0.000234711,-0.021849161,0.021636659
0.110000000,-1.999565915,-1.999523887,0.078231233,-0.033381351,-2.000000000,-2.000000000,0.050129732,-0.000000000,-0.000434085,-0.000476113,-0.028101501,0.033381351
0.140000000,-1.999345424,-1.999289295,0.059585817,-0.019255856,-2.000000000,-2.000000000,0.050159731,-0.000076884,-0.000654576,-0.000710705,-0.009426085,0.019178972
0.170000000,-1.999059805,-1.999005909,0.060136227,-0.020313356,-1.999999999,-1.999999999,0.050394148,-0.000927459,-0.000940193,-0.000994091,-0.009742079,0.019385897
0.210000000,-1.998587904,-1.998562619,0.058542197,-0.022430411,-1.999998665,-1.999999650,0.051923650,-0.004080179,-0.001410761,-0.001437031,-0.006618548,0.018350232
0.240000000,-1.998167294,-1.998172491,0.050368248,-0.023437034,-1.999994323,-1.999998427,0.054040265,-0.007670048,-0.001827029,-0.001825936,0.003672018,0.015766986
0.270000000,-1.997698924,-1.997727186,0.053075380,-0.028109534,-1.999987399,-1.999996232,0.056833562,-0.011994325,-0.002288474,-0.002269046,0.003758182,0.016115210
0.310000000,-1.996991943,-1.997072458,0.051964786,-0.034265674,-1.999975742,-1.999991451,0.061728103,-0.018869219,-0.002983799,-0.002918993,0.009763317,0.015396455
0.340000000,-1.996395719,-1.996535254,0.052212695,-0.043493139,-1.999965321,-1.999986439,0.066211629,-0.024689189,-0.003569601,-0.003451185,0.013998934,0.018803950
0.370000000,-1.995749093,-1.995959619,0.056888050,-0.049903139,-1.999952292,-1.999980565,0.071246152,-0.030904385,-0.004203198,-0.004020946,0.014358101,0.018998754
0.410000000,-1.994786298,-1.995121310,0.063988810,-0.056489886,-1.999929209,-1.999972215,0.078901046,-0.039786192,-0.005142911,-0.004850905,0.014912236,0.016703694
0.440000000,-1.993979947,-1.994438257,0.073333144,-0.062095345,-1.999909255,-1.999966599,0.085295221,-0.046803046,-0.005929308,-0.005528341,0.011962077,0.015292299
0.470000000,-1.993105450,-1.993714557,0.080137074,-0.069282845,-1.999888114,-1.999961877,0.092132929,-0.054031506,-0.006782664,-0.006247321,0.011995855,0.015251339
0.510000000,-2.065252739,-1.831251728,0.089975312,-0.078975027,-1.999856175,-1.999957825,0.102010242,-0.063987990,0.065396565,-0.168706097,0.012034929,0.014987037
0.540000000,-2.065820137,-1.826978592,0.101612090,-0.087562347,-1.999828352,-1.999957255,0.109946776,-0.071645832,0.065991785,-0.172978663,0.008334686,0.015916515
0.570000000,-2.066320716,-1.822666799,0.110316465,-0.095469847,-1.999798539,-1.999959069,0.118247358,-0.079417086,0.066522177,-0.177292271,0.007930894,0.016052761
0.610000000,-2.066898963,-1.816834853,0.120319681,-0.104849837,-1.999755017,-1.999974108,0.129946062,-0.089945573,0.067143946,-0.183139255,0.009626381,0.014904264
0.640000000,-2.067266629,-1.812396015,0.134961909,-0.114011000,-1.999712424,-2.000021178,0.139154826,-0.097940931,0.067554205,-0.187625163,0.004192918,0.016070069
0.670000000,-2.067586248,-1.807908499,0.145249675,-0.122136000,-1.999656829,-2.000123175,0.148665986,-0.105998782,0.067929420,-0.192214677,0.003416311,0.016137219
0.710000000,-2.067929720,-1.801861484,0.159339228,-0.132323130,-1.999561060,-2.000416785,0.161877366,-0.116843456,0.068368660,-0.198555301,0.002538138,0.015479674
